1,7.74542641271626
2,1.72482649943663
3,-1.79699868167699
4,-4.29577341384299
5,-6.23397367400412
6,-7.81759859495661
7,-9.15653438756888
8,-10.3163733271226
9,-11.3394237760702
10,-12.2545735872837
11,-13.0824272904482
12,-13.8381985082362
13,-14.5334406334205
14,-15.1771343008485
15,-15.7763987683974
16,-16.3369732404022
17,-16.8635520148492
18,-17.3600236893499
19,-17.8296456063403
20,-18.2751735005634
21,-18.6989594819621
22,-19.1030272037279
23,-19.4891303076356
24,-19.8587984215159
25,-20.2133737607245
26,-20.5540405467001
27,-20.8818488704635
28,-21.1977342141281
29,-21.5025335452629
30,-21.796998681677
31,-22.0818074639692
32,-22.3575731536819
33,-22.6248523848415
34,-22.8841519281288
35,-23.1359344742893
36,-23.3806236026295
37,-23.6186080686236
38,-23.8502455196199
39,-24.0758657278137
40,-24.295773413843
41,-24.5102507216785
42,-24.7195593952418
43,-24.9239426988755
44,-25.1236271170075
45,-25.3188238627906
46,-25.5097302209152
47,-25.6965307459981
48,-25.8793983347955
49,-26.058495187854
50,-26.2339736740041
51,-26.4059771092425
52,-26.5746404599797
53,-26.7400909792995
54,-26.9024487837431
55,-27.0618273771686
56,-27.2183341274077
57,-27.3720707007336
58,-27.5231334585425
59,-27.6716138201266
60,-27.8175985949566
61,-27.9611702874991
62,-28.1024073772488
63,-28.2413845763554
64,-28.3781730669615
65,-28.5128407201409
66,-28.6454522981211
67,-28.7760696413003
68,-28.9047518414085
69,-29.0315554020288
70,-29.1565343875689
71,-29.2797405616652
72,-29.4012235159091
73,-29.5210307896929
74,-29.6392079819033
75,-29.7557988551177
76,-29.8708454328996
77,-29.9843880907334
78,-30.0964656410934
79,-30.2071154130926
80,-30.3163733271226
81,-30.4242739648567
82,-30.5308506349581
83,-30.6361354348052
84,-30.7401593085214
85,-30.8429521015696
86,-30.9445426121551
87,-31.0449586396561
88,-31.1442270302871
89,-31.242373720182
90,-31.3394237760702
91,-31.4354014337056
92,-31.5303301341948
93,-31.6242325583624
94,-31.7171306592777
95,-31.8090456930607
96,-31.8999982480751
97,-31.9900082726086
98,-32.0790951011336
99,-32.1672774792347
100,-32.2545735872837
101,-32.3410010629366
102,-32.4265770225221
103,-32.5113180813872
104,-32.5952403732593
105,-32.6783595686825
106,-32.7606908925791
107,-32.8422491409879
108,-32.9230486970227
109,-33.0031035460962
110,-33.0824272904482
111,-33.1610331630169
112,-33.2389340406874
113,-33.3161424569521
114,-33.3926706140132
115,-33.468530394356
116,-33.5437333718221
117,-33.618290822207
118,-33.6922137334062
119,-33.7655128151344
120,-33.8381985082362
121,-33.9102809936127
122,-33.9817702007787
123,-34.0526758160717
124,-34.1230072905284
125,-34.1927738474449
126,-34.261984489635
127,-34.3306480064029
128,-34.3987729802411
129,-34.4663677932687
130,-34.5334406334205
131,-34.599999500399
132,-34.6660522114007
133,-34.7316064066255
134,-34.7966695545799
135,-34.8612489571839
136,-34.9253517546881
137,-34.9889849304119
138,-35.0521553153085
139,-35.1148695923656
140,-35.1771343008485
141,-35.2389558403913
142,-35.3003404749449
143,-35.361294336585
144,-35.4218234291887
145,-35.4819336319832
146,-35.5416307029725
147,-35.6009202822473
148,-35.6598078951829
149,-35.7182989555292
150,-35.7763987683974
151,-35.8341125331471
152,-35.8914453461792
153,-35.9484022036357
154,-36.004988004013
155,-36.0612075506896
156,-36.117065554373
157,-36.1725666354684
158,-36.2277153263722
159,-36.2825160736928
160,-36.3369732404022
161,-36.3910911079207
162,-36.4448738781364
163,-36.4983256753629
164,-36.5514505482377
165,-36.6042524715619
166,-36.6567353480848
167,-36.7089030102354
168,-36.760759221801
169,-36.8123076795572
170,-36.8635520148492
171,-36.9144957951268
172,-36.9651425254347
173,-37.0154956498597
174,-37.0655585529357
175,-37.1153345610096
176,-37.1648269435667
177,-37.2140389145199
178,-37.2629736334616
179,-37.3116342068816
180,-37.3600236893499
181,-37.4081450846674
182,-37.4560013469852
183,-37.5035953818923
184,-37.5509300474745
185,-37.598008155344
186,-37.6448324716421
187,-37.6914057180137
188,-37.7377305725573
189,-37.7838096707486
190,-37.8296456063403
191,-37.8752409322383
192,-37.9205981613547
193,-37.9657197674392
194,-38.0106081858883
195,-38.0552658145341
196,-38.0996950144133
197,-38.1438981105156
198,-38.1878773925144
199,-38.2316351154779
200,-38.2751735005634
201,-38.3184947356935
202,-38.3616009762162
203,-38.404494345548
204,-38.4471769358017
205,-38.4896508083988
206,-38.5319179946668
207,-38.5739804964221
208,-38.615840286539
209,-38.6574993095048
210,-38.6989594819621
211,-38.7402226932376
212,-38.7812908058588
213,-38.8221656560585
214,-38.8628490542676
215,-38.9033427855959
216,-38.9436486103024
217,-38.9837682642543
218,-39.0237034593758
219,-39.0634558840861
220,-39.1030272037279
221,-39.142419060986
222,-39.1816330762965
223,-39.220670848247
224,-39.259533953967
225,-39.298223949511
226,-39.3367423702318
227,-39.3750907311462
228,-39.4132705272928
229,-39.4512832340815
230,-39.4891303076356
231,-39.5268131851266
232,-39.5643332851017
233,-39.6016920078041
234,-39.6388907354866
235,-39.6759308327185
236,-39.7128136466859
237,-39.7495405074858
238,-39.786112728414
239,-39.8225316062465
240,-39.8587984215159
241,-39.8949144387811
242,-39.9308809068924
243,-39.96669905925
244,-40.0023701140583
245,-40.0378952745744
246,-40.0732757293513
247,-40.1085126524771
248,-40.1436072038081
249,-40.1785605291985
250,-40.2133737607245
251,-40.2480480169045
252,-40.2825844029146
253,-40.3169840108001
254,-40.3512479196825
255,-40.3853771959628
256,-40.4193728935207
