time_stamp,utc_time,latitude,longitude,pressure_alt,gnss_alt,acc_hor,acc_vert,acc_vel,vel_vert,ns_vog,ew_vog,intent_change,autopilot_enabled,nicbaro_crosschecked,on_ground,ident,squawk,fix_type,num_sats,em_status,adsb_enable,modeA_enable,modeC_enable,modeS_enable
54045.007,1279551643,27.549408,-82.542503,-39.101,-17.841,22.646,12.31,4.629,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54045.029,1279551644,27.549408,-82.542503,-39.223,-17.841,22.688,12.39,4.637,0.01,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54046.016,1279551645,27.549408,-82.542503,-38.946,-17.841,22.688,12.39,4.637,0.02,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54047.017,1279551646,27.549408,-82.542503,-39.209,-17.841,22.688,12.39,4.637,0.02,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54048.017,1279551647,27.549408,-82.542503,-39.012,-17.841,22.688,12.39,4.637,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54049.017,1279551648,27.549408,-82.542503,-38.828,-17.841,22.730,12.39,4.646,0.00,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54050.017,1279551649,27.549408,-82.542503,-39.226,-17.841,22.773,12.47,4.654,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54051.017,1279551650,27.549408,-82.542503,-39.155,-17.841,22.773,12.47,4.654,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54052.017,1279551651,27.549408,-82.542503,-38.942,-17.841,22.773,12.47,4.654,0.00,0.00,-0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54053.016,1279551652,27.549408,-82.542503,-38.806,-17.841,22.773,12.47,4.654,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54054.017,1279551653,27.549408,-82.542503,-39.055,-17.841,22.815,12.47,4.663,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54055.016,1279551654,27.549408,-82.542503,-39.102,-17.841,22.857,12.55,4.671,0.00,0.00,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54056.017,1279551655,27.549408,-82.542503,-38.976,-17.841,22.857,12.55,4.671,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54057.017,1279551656,27.549408,-82.542503,-39.322,-17.841,22.857,12.55,4.671,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54058.016,1279551657,27.549408,-82.542503,-39.182,-17.841,22.857,12.55,4.671,0.03,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54059.017,1279551658,27.549408,-82.542503,-39.174,-17.841,22.899,12.55,4.679,0.02,-0.01,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54060.017,1279551659,27.549408,-82.542503,-39.068,-17.841,22.941,12.62,4.688,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54061.016,1279551660,27.549408,-82.542503,-38.964,-17.841,22.941,12.62,4.688,0.03,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54062.017,1279551661,27.549408,-82.542503,-39.149,-17.841,22.941,12.62,4.688,0.03,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54063.016,1279551662,27.549408,-82.542503,-39.028,-17.841,22.941,12.62,4.688,0.01,0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54064.016,1279551663,27.549408,-82.542503,-38.985,-17.841,22.983,12.62,4.696,0.01,0.01,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54065.016,1279551664,27.549408,-82.542503,-39.022,-17.841,23.024,12.70,4.704,0.03,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54066.016,1279551665,27.549408,-82.542503,-39.109,-17.841,23.024,12.70,4.704,0.03,-0.01,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54067.017,1279551666,27.549408,-82.542503,-38.851,-17.841,23.024,12.70,4.704,0.03,0.00,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54068.017,1279551667,27.549408,-82.542503,-39.044,-17.841,23.024,12.70,4.704,0.03,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54069.017,1279551668,27.549408,-82.542503,-39.063,-17.841,23.066,12.70,4.713,0.03,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54070.018,1279551669,27.549408,-82.542503,-39.147,-17.841,23.108,12.77,4.721,0.04,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54071.017,1279551670,27.549408,-82.542503,-39.278,-17.841,23.108,12.77,4.721,0.05,0.00,0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54072.016,1279551671,27.549408,-82.542503,-39.409,-17.841,23.108,12.77,4.721,0.04,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54073.017,1279551672,27.549408,-82.542503,-39.028,-17.841,23.108,12.77,4.721,0.04,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54074.016,1279551673,27.549408,-82.542503,-38.927,-17.841,23.149,12.77,4.729,0.03,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54075.017,1279551674,27.549408,-82.542503,-39.185,-17.841,23.191,12.85,4.738,0.01,0.02,-0.020,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54076.016,1279551675,27.549408,-82.542503,-39.083,-17.841,23.191,12.85,4.738,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54077.016,1279551676,27.549408,-82.542503,-38.968,-17.841,23.191,12.85,4.738,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54078.017,1279551677,27.549408,-82.542503,-39.093,-17.841,23.191,12.85,4.738,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54079.017,1279551678,27.549408,-82.542503,-38.995,-17.841,23.232,12.85,4.746,0.00,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54080.016,1279551679,27.549408,-82.542503,-38.963,-17.841,23.273,12.92,4.754,0.00,0.00,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54081.016,1279551680,27.549408,-82.542503,-38.975,-17.841,23.273,12.92,4.754,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54082.017,1279551681,27.549408,-82.542503,-39.017,-17.841,23.273,12.92,4.754,0.01,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54083.017,1279551682,27.549408,-82.542503,-39.098,-17.841,23.273,12.92,4.754,0.01,0.00,0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54084.017,1279551683,27.549410,-82.542503,-38.743,-17.788,22.941,12.39,4.688,0.02,0.00,-0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54085.017,1279551684,27.549410,-82.542503,-38.908,-17.788,22.941,12.39,4.688,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54086.016,1279551685,27.549410,-82.542503,-38.871,-17.788,22.983,12.39,4.696,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54087.017,1279551686,27.549410,-82.542503,-38.875,-17.788,22.983,12.39,4.696,0.02,0.00,-0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54088.016,1279551687,27.549410,-82.542503,-38.597,-17.788,23.024,12.39,4.704,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54089.016,1279551688,27.549410,-82.542503,-38.542,-17.788,23.024,12.47,4.704,0.02,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54090.017,1279551689,27.549410,-82.542503,-39.131,-17.788,23.024,12.47,4.704,0.02,-0.02,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54091.017,1279551690,27.549410,-82.542503,-38.656,-17.788,23.066,12.47,4.713,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54092.017,1279551691,27.549410,-82.542503,-39.028,-17.788,23.066,12.47,4.713,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54093.016,1279551692,27.549410,-82.542503,-38.915,-17.788,23.108,12.47,4.721,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54094.017,1279551693,27.549410,-82.542503,-38.794,-17.788,23.108,12.55,4.721,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54095.016,1279551694,27.549410,-82.542503,-38.522,-17.788,23.108,12.55,4.721,0.03,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54096.017,1279551695,27.549410,-82.542503,-38.812,-17.788,23.149,12.55,4.729,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54097.017,1279551696,27.549410,-82.542503,-38.985,-17.788,23.149,12.55,4.729,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54098.016,1279551697,27.549410,-82.542503,-39.044,-17.788,23.191,12.55,4.738,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54099.016,1279551698,27.549410,-82.542503,-39.078,-17.788,23.191,12.62,4.738,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54100.017,1279551699,27.549410,-82.542503,-39.013,-17.788,23.191,12.62,4.738,0.00,0.00,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54101.016,1279551700,27.549410,-82.542503,-39.117,-17.788,23.232,12.62,4.746,-0.01,0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54102.017,1279551701,27.549410,-82.542503,-39.177,-17.788,23.232,12.62,4.746,-0.02,0.01,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54103.017,1279551702,27.549410,-82.542503,-39.042,-17.788,23.273,12.62,4.754,-0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54104.017,1279551703,27.549410,-82.542503,-38.912,-17.788,23.273,12.70,4.754,-0.01,0.00,0.030,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54105.017,1279551704,27.549410,-82.542503,-38.567,-17.788,23.273,12.70,4.754,0.00,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54106.017,1279551705,27.549410,-82.542503,-39.029,-17.788,23.314,12.70,4.762,-0.01,0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54107.016,1279551706,27.549410,-82.542503,-39.046,-17.788,23.314,12.70,4.762,-0.01,0.00,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54108.018,1279551707,27.549410,-82.542503,-39.169,-17.788,23.356,12.70,4.771,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54109.018,1279551708,27.549410,-82.542503,-38.916,-17.788,23.356,12.77,4.771,0.00,0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54110.017,1279551709,27.549410,-82.542503,-39.083,-17.788,23.356,12.77,4.771,0.00,0.00,-0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54111.017,1279551710,27.549410,-82.542503,-39.240,-17.788,23.397,12.77,4.779,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54112.016,1279551711,27.549410,-82.542503,-39.236,-17.788,23.397,12.77,4.779,0.01,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54113.017,1279551712,27.549410,-82.542503,-39.422,-17.788,23.438,12.77,4.787,0.01,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54114.017,1279551713,27.549410,-82.542503,-38.864,-17.788,23.438,12.85,4.787,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54115.017,1279551714,27.549410,-82.542503,-39.053,-17.788,23.438,12.85,4.787,0.02,0.00,-0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54116.016,1279551715,27.549410,-82.542503,-39.261,-17.788,23.479,12.85,4.795,0.03,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54117.016,1279551716,27.549410,-82.542503,-39.401,-17.788,23.479,12.85,4.795,0.02,0.00,-0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54118.017,1279551717,27.549410,-82.542503,-39.206,-17.788,23.520,12.85,4.803,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54119.016,1279551718,27.549410,-82.542503,-39.264,-17.788,23.520,12.92,4.803,0.03,0.00,0.020,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54120.017,1279551719,27.549410,-82.542503,-39.072,-17.788,23.520,12.92,4.803,0.03,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54121.017,1279551720,27.549410,-82.542503,-38.918,-17.788,23.560,12.92,4.812,0.03,0.00,0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54122.017,1279551721,27.549410,-82.542503,-39.013,-17.788,23.560,12.92,4.812,0.03,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54123.016,1279551722,27.549410,-82.542503,-38.649,-17.788,23.601,12.92,4.820,0.04,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54124.017,1279551723,27.549410,-82.542504,-38.798,-17.904,23.149,12.39,4.729,0.03,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54125.017,1279551724,27.549410,-82.542504,-39.113,-17.904,23.149,12.47,4.729,0.04,0.00,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54126.017,1279551725,27.549410,-82.542504,-39.374,-17.904,23.149,12.47,4.729,0.03,0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54127.016,1279551726,27.549410,-82.542504,-39.183,-17.904,23.191,12.47,4.738,0.02,0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54128.016,1279551727,27.549410,-82.542504,-39.290,-17.904,23.232,12.47,4.746,0.01,0.01,-0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54129.017,1279551728,27.549410,-82.542504,-38.817,-17.904,23.232,12.47,4.746,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54130.017,1279551729,27.549410,-82.542504,-39.095,-17.904,23.232,12.55,4.746,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54131.016,1279551730,27.549410,-82.542504,-38.986,-17.904,23.232,12.55,4.746,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54132.016,1279551731,27.549410,-82.542504,-39.155,-17.904,23.273,12.55,4.754,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54133.017,1279551732,27.549410,-82.542504,-39.085,-17.904,23.314,12.55,4.762,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54134.017,1279551733,27.549410,-82.542504,-39.221,-17.904,23.314,12.55,4.762,0.01,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54135.017,1279551734,27.549410,-82.542504,-39.072,-17.904,23.314,12.62,4.762,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54136.016,1279551735,27.549410,-82.542504,-39.249,-17.904,23.314,12.62,4.762,0.01,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54137.017,1279551736,27.549410,-82.542504,-38.955,-17.904,23.356,12.62,4.771,0.02,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54138.017,1279551737,27.549410,-82.542504,-39.161,-17.904,23.397,12.62,4.779,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54139.017,1279551738,27.549410,-82.542504,-39.130,-17.904,23.397,12.62,4.779,0.02,0.00,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54140.017,1279551739,27.549410,-82.542504,-39.179,-17.904,23.397,12.70,4.779,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54141.017,1279551740,27.549410,-82.542504,-39.217,-17.904,23.397,12.70,4.779,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54142.016,1279551741,27.549410,-82.542504,-38.852,-17.904,23.438,12.70,4.787,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54143.017,1279551742,27.549410,-82.542504,-39.216,-17.904,23.479,12.70,4.795,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54144.017,1279551743,27.549410,-82.542504,-39.003,-17.904,23.479,12.70,4.795,0.00,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54145.018,1279551744,27.549410,-82.542504,-39.020,-17.904,23.479,12.77,4.795,0.00,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54146.017,1279551745,27.549410,-82.542504,-39.012,-17.904,23.479,12.77,4.795,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54147.017,1279551746,27.549410,-82.542504,-39.031,-17.904,23.520,12.77,4.803,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54148.017,1279551747,27.549410,-82.542504,-39.087,-17.904,23.560,12.77,4.812,0.02,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54149.017,1279551748,27.549410,-82.542504,-38.819,-17.904,23.560,12.77,4.812,0.02,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54150.017,1279551749,27.549410,-82.542504,-39.425,-17.904,23.560,12.85,4.812,0.01,0.00,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54151.016,1279551750,27.549410,-82.542504,-39.104,-17.904,23.560,12.85,4.812,0.00,-0.01,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54152.017,1279551751,27.549410,-82.542504,-39.192,-17.904,23.601,12.85,4.820,0.01,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54153.017,1279551752,27.549410,-82.542504,-39.271,-17.904,23.642,12.85,4.828,0.02,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54154.017,1279551753,27.549410,-82.542504,-39.114,-17.904,23.642,12.85,4.828,0.01,0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54155.017,1279551754,27.549410,-82.542504,-39.065,-17.904,23.642,12.92,4.828,0.02,-0.01,0.020,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54156.017,1279551755,27.549410,-82.542504,-38.783,-17.904,23.642,12.92,4.828,0.01,0.01,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54157.017,1279551756,27.549410,-82.542504,-39.054,-17.904,23.682,12.92,4.836,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54158.017,1279551757,27.549410,-82.542504,-39.238,-17.904,23.723,12.92,4.844,0.02,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54159.016,1279551758,27.549410,-82.542504,-39.016,-17.904,23.723,12.92,4.844,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54160.018,1279551759,27.549410,-82.542504,-39.109,-17.904,23.723,13.00,4.844,0.01,0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54161.017,1279551760,27.549410,-82.542504,-38.814,-17.904,23.723,13.00,4.844,0.02,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54162.017,1279551761,27.549410,-82.542504,-38.958,-17.904,23.763,13.00,4.852,0.01,0.00,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54163.017,1279551762,27.549410,-82.542504,-38.784,-17.904,23.804,13.00,4.860,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54164.017,1279551763,27.549410,-82.542504,-38.946,-17.906,23.314,12.47,4.762,0.01,0.00,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54165.016,1279551764,27.549410,-82.542504,-39.251,-17.906,23.356,12.47,4.771,0.01,-0.01,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54166.017,1279551765,27.549410,-82.542504,-39.048,-17.906,23.356,12.55,4.771,0.03,-0.02,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54167.016,1279551766,27.549410,-82.542504,-38.940,-17.906,23.356,12.55,4.771,0.03,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54168.016,1279551767,27.549410,-82.542504,-39.107,-17.906,23.397,12.55,4.779,0.03,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54169.016,1279551768,27.549410,-82.542504,-38.811,-17.906,23.397,12.55,4.779,0.02,0.00,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54170.018,1279551769,27.549410,-82.542504,-39.114,-17.906,23.438,12.55,4.787,0.02,0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54171.016,1279551770,27.549410,-82.542504,-38.835,-17.906,23.438,12.62,4.787,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54172.016,1279551771,27.549410,-82.542504,-39.080,-17.906,23.438,12.62,4.787,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54173.017,1279551772,27.549410,-82.542504,-39.348,-17.906,23.479,12.62,4.795,0.00,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54174.017,1279551773,27.549410,-82.542504,-39.185,-17.906,23.479,12.62,4.795,0.00,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54175.017,1279551774,27.549410,-82.542504,-38.951,-17.906,23.520,12.62,4.803,0.00,0.00,-0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54176.017,1279551775,27.549410,-82.542504,-39.020,-17.906,23.520,12.70,4.803,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54177.017,1279551776,27.549410,-82.542504,-38.627,-17.906,23.520,12.70,4.803,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54178.017,1279551777,27.549410,-82.542504,-39.247,-17.906,23.560,12.70,4.812,0.00,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54179.017,1279551778,27.549410,-82.542504,-38.749,-17.906,23.560,12.70,4.812,0.00,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54180.017,1279551779,27.549410,-82.542504,-39.178,-17.906,23.601,12.70,4.820,-0.01,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54181.017,1279551780,27.549410,-82.542504,-38.709,-17.906,23.601,12.77,4.820,0.00,-0.01,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54182.016,1279551781,27.549410,-82.542504,-39.008,-17.906,23.601,12.77,4.820,0.00,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54183.017,1279551782,27.549410,-82.542504,-38.830,-17.906,23.642,12.77,4.828,0.00,0.00,0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54184.017,1279551783,27.549410,-82.542504,-39.042,-17.906,23.642,12.77,4.828,0.01,0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54185.017,1279551784,27.549410,-82.542504,-39.082,-17.906,23.682,12.77,4.836,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54186.017,1279551785,27.549410,-82.542504,-38.659,-17.906,23.682,12.85,4.836,0.01,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54187.017,1279551786,27.549410,-82.542504,-38.766,-17.906,23.682,12.85,4.836,0.00,0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54188.017,1279551787,27.549410,-82.542504,-38.879,-17.906,23.723,12.85,4.844,0.01,0.00,0.030,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54189.017,1279551788,27.549410,-82.542502,-38.948,-17.898,24.283,13.29,4.956,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54190.017,1279551789,27.549414,-82.542506,-38.919,-17.456,22.815,11.84,4.663,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54191.017,1279551790,27.549414,-82.542506,-39.267,-17.456,22.815,11.84,4.663,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54192.017,1279551791,27.549414,-82.542506,-39.039,-17.456,22.815,11.84,4.663,0.00,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54193.016,1279551792,27.549414,-82.542506,-38.776,-17.456,22.857,11.92,4.671,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54194.017,1279551793,27.549414,-82.542506,-38.878,-17.456,22.857,11.92,4.671,-0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54195.017,1279551794,27.549414,-82.542506,-38.897,-17.456,22.899,11.92,4.679,-0.02,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54196.017,1279551795,27.549414,-82.542503,-38.744,-17.470,23.397,12.39,4.779,-0.01,-0.01,0.030,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54197.016,1279551796,27.549414,-82.542505,-38.611,-17.427,21.869,11.34,4.473,-0.01,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54198.017,1279551797,27.549414,-82.542505,-38.944,-17.427,21.869,11.34,4.473,-0.01,0.00,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54199.017,1279551798,27.549414,-82.542505,-38.771,-17.427,21.869,11.34,4.473,0.00,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
