time_stamp,utc_time,latitude,longitude,pressure_alt,gnss_alt,acc_hor,acc_vert,acc_vel,vel_vert,ns_vog,ew_vog,intent_change,autopilot_enabled,nicbaro_crosschecked,on_ground,ident,squawk,fix_type,num_sats,em_status,adsb_enable,modeA_enable,modeC_enable,modeS_enable
54751.016,1279552350,27.549414,-82.542502,-38.878,-19.692,22.390,13.57,4.578,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54752.016,1279552351,27.549414,-82.542502,-39.266,-19.692,22.433,13.57,4.586,0.02,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54753.016,1279552352,27.549414,-82.542502,-39.060,-19.706,22.131,13.36,4.526,0.03,-0.01,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54754.016,1279552353,27.549414,-82.542502,-38.939,-19.706,22.131,13.36,4.526,0.02,0.01,-0.020,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54755.019,1279552354,27.549414,-82.542502,-38.986,-19.706,22.131,13.36,4.526,0.03,0.00,-0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54756.015,1279552355,27.549414,-82.542502,-38.884,-19.706,22.174,13.43,4.534,0.05,-0.01,0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54757.016,1279552356,27.549414,-82.542502,-39.058,-19.706,22.218,13.43,4.543,0.04,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54758.016,1279552357,27.549414,-82.542502,-38.943,-19.706,22.218,13.43,4.543,0.03,0.00,0.000,0,0,0,0,0,"2260",4,7,0,7,0,0,0
54759.015,1279552358,27.549414,-82.542502,-39.168,-19.706,22.218,13.43,4.543,0.00,0.03,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54760.016,1279552359,27.549414,-82.542502,-38.769,-19.706,22.218,13.43,4.543,-0.01,0.01,-0.020,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54761.016,1279552360,27.549414,-82.542502,-38.984,-19.706,22.261,13.50,4.552,-0.03,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54762.016,1279552361,27.549414,-82.542502,-38.564,-19.706,22.304,13.50,4.560,-0.02,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54763.015,1279552362,27.549414,-82.542502,-39.047,-19.706,22.304,13.50,4.560,-0.01,0.00,-0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54764.016,1279552363,27.549414,-82.542502,-39.224,-19.706,22.304,13.50,4.560,0.01,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54765.016,1279552364,27.549414,-82.542502,-39.082,-19.706,22.304,13.50,4.560,0.02,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54766.016,1279552365,27.549414,-82.542502,-39.240,-19.706,22.347,13.57,4.569,0.03,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54767.015,1279552366,27.549414,-82.542502,-38.821,-19.706,22.390,13.57,4.578,0.02,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54768.016,1279552367,27.549414,-82.542502,-38.960,-19.706,22.390,13.57,4.578,0.01,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54769.016,1279552368,27.549414,-82.542502,-39.003,-19.706,22.390,13.57,4.578,0.00,0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54770.016,1279552369,27.549414,-82.542502,-39.029,-19.706,22.390,13.57,4.578,0.00,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54771.016,1279552370,27.549414,-82.542502,-38.961,-19.706,22.433,13.64,4.586,0.01,0.01,-0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54772.016,1279552371,27.549414,-82.542502,-38.950,-19.706,22.475,13.64,4.595,0.01,0.00,-0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54773.016,1279552372,27.549414,-82.542502,-39.136,-19.706,22.475,13.64,4.595,0.04,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54774.016,1279552373,27.549414,-82.542502,-38.809,-19.706,22.475,13.64,4.595,0.03,0.00,0.000,0,0,0,0,0,"2260",4,7,0,7,0,0,0
54775.016,1279552374,27.549414,-82.542502,-39.011,-19.706,22.475,13.64,4.595,0.03,0.00,0.000,0,0,0,0,0,"2260",4,7,0,7,0,0,0
54776.016,1279552375,27.549414,-82.542502,-38.935,-19.706,22.518,13.72,4.603,0.03,0.00,0.010,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54777.016,1279552376,27.549414,-82.542502,-39.295,-19.706,22.561,13.72,4.612,0.03,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54778.016,1279552377,27.549414,-82.542502,-39.154,-19.706,22.561,13.72,4.612,0.04,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54779.016,1279552378,27.549414,-82.542502,-38.745,-19.706,22.561,13.72,4.612,0.04,0.00,0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54780.016,1279552379,27.549414,-82.542502,-39.147,-19.706,22.561,13.72,4.612,0.02,0.00,0.000,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54781.016,1279552380,27.549414,-82.542502,-38.854,-19.706,22.603,13.78,4.620,0.01,0.00,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54782.015,1279552381,27.549414,-82.542502,-38.879,-19.706,22.646,13.78,4.629,0.00,0.00,0.010,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54783.015,1279552382,27.549414,-82.542502,-39.044,-19.706,22.646,13.78,4.629,0.00,0.00,-0.020,0,0,0,0,0,"2260",4,8,0,7,0,0,0
54784.015,1279552383,27.549414,-82.542502,-39.098,-19.706,22.646,13.78,4.629,0.00,-0.01,0.000,0,0,0,0,0,"2260",4,9,0,7,0,0,0
54785.016,1279552384,27.549414,-82.542502,-38.887,-19.706,22.646,13.78,4.629,0.02,0.00,-0.020,0,0,0,0,0,"2260",4,9,0,7,0,0,0
