time_stamp,ICAO,lat (deg),lon (deg),altitude (meters),heading,hor_velocity (mps),ver_velocity (mps),latlon valid,altitude valid,heading valid,velocity valid,callsign valid,ident valid,simulated report,vert_vel valid,baro valid,source_uat,squawk,altitude_type,callsign,emitter_type,tslc
54638.034,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54638.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,10
54639.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54639.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54639.043,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,11
54640.025,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54640.033,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54640.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,12
54641.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54641.034,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54641.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,13
