time_stamp,ICAO,lat (deg),lon (deg),altitude (meters),heading,hor_velocity (mps),ver_velocity (mps),latlon valid,altitude valid,heading valid,velocity valid,callsign valid,ident valid,simulated report,vert_vel valid,baro valid,source_uat,squawk,altitude_type,callsign,emitter_type,tslc
54046.229,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54046.231,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54046.234,"FAA020",40.233779,-111.676004,1486,90.000,4.620,0.000,1,1,1,1,0,0,0,0,0,0,"0000",1,"",0,1
54046.247,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54046.253,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54046.264,"FAA020",40.233779,-111.675897,1486,90.000,4.620,1.620,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,1
54047.246,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54047.254,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54047.263,"FAA020",40.233779,-111.675897,1486,90.000,4.620,1.620,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,2
54048.247,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54048.253,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54048.263,"FAA020",40.233779,-111.675897,1486,90.000,4.620,1.620,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,3
54049.247,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54049.253,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54049.264,"FAA020",40.233779,-111.675704,1486,90.000,4.620,4.870,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,1
54050.247,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54050.254,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54050.263,"FAA020",40.233779,-111.675704,1486,90.000,4.620,4.870,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,2
54051.245,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54051.255,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54051.264,"FAA020",40.233779,-111.675704,1486,90.000,4.620,4.870,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,3
54052.245,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54052.254,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54052.264,"FAA020",40.233779,-111.675704,1486,90.000,4.620,4.870,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,4
54053.245,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54053.254,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54053.264,"FAA020",40.233779,-111.675704,1486,90.000,4.620,4.870,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,5
54054.245,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54054.255,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54054.262,"FAA020",40.233779,-111.675425,1486,90.000,4.620,9.420,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,1
54055.246,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54055.255,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54055.262,"FAA020",40.233779,-111.675360,1486,90.000,4.620,10.720,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,1
54056.246,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54056.255,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54056.262,"FAA020",40.233779,-111.675296,1486,90.000,4.620,11.700,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,1
54057.245,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54057.254,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54057.264,"FAA020",40.233779,-111.675231,1486,90.000,4.620,12.670,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,1
54058.245,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54058.254,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54058.264,"FAA020",40.233779,-111.675231,1486,90.000,4.620,12.670,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,2
54059.245,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
54059.255,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54059.262,"FAA020",40.233779,-111.675231,1486,90.000,4.620,12.670,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,3
54060.246,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"PING3   ",14,1
