time_stamp,utc_time,latitude,longitude,pressure_alt,gnss_alt,acc_hor,acc_vert,acc_vel,vel_vert,ns_vog,ew_vog,intent_change,autopilot_enabled,nicbaro_crosschecked,on_ground,ident,squawk,fix_type,num_sats,em_status,adsb_enable,modeA_enable,modeC_enable,modeS_enable
54044.019,1279551643,40.233799,-111.676004,0.000,1487.000,9.480,12.84,,0.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54045.016,1279551644,40.233799,-111.675944,0.000,1487.000,9.480,12.84,,1.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54046.016,1279551645,40.233799,-111.675883,0.000,1487.000,9.480,12.84,,2.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54047.016,1279551646,40.233799,-111.675823,0.000,1487.000,9.480,12.84,,3.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54048.016,1279551647,40.233799,-111.675762,0.000,1487.000,9.480,12.84,,4.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54049.021,1279551648,40.233799,-111.675702,0.000,1487.000,9.480,12.84,,5.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54050.016,1279551649,40.233799,-111.675641,0.000,1487.000,9.480,12.84,,6.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54051.016,1279551650,40.233799,-111.675581,0.000,1487.000,9.480,12.84,,7.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54052.016,1279551651,40.233799,-111.675520,0.000,1487.000,9.480,12.84,,8.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54053.016,1279551652,40.233799,-111.675460,0.000,1487.000,9.480,12.84,,9.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54054.016,1279551653,40.233799,-111.675399,0.000,1487.000,9.480,12.84,,10.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54055.016,1279551654,40.233799,-111.675338,0.000,1487.000,9.480,12.84,,11.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54056.016,1279551655,40.233799,-111.675278,0.000,1487.000,9.480,12.84,,12.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54057.016,1279551656,40.233799,-111.675217,0.000,1487.000,9.480,12.84,,13.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54058.016,1279551657,40.233799,-111.675157,0.000,1487.000,9.480,12.84,,14.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54059.017,1279551658,40.233799,-111.675096,0.000,1487.000,9.480,12.84,,15.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54060.016,1279551659,40.233799,-111.675036,0.000,1487.000,9.480,12.84,,16.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54061.016,1279551660,40.233799,-111.674975,0.000,1487.000,9.480,12.84,,17.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54062.016,1279551661,40.233799,-111.674915,0.000,1487.000,9.480,12.84,,18.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54063.016,1279551662,40.233799,-111.674854,0.000,1487.000,9.480,12.84,,19.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54064.016,1279551663,40.233799,-111.674794,0.000,1487.000,9.480,12.84,,20.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54065.016,1279551664,40.233799,-111.674733,0.000,1487.000,9.480,12.84,,21.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54066.016,1279551665,40.233799,-111.674673,0.000,1487.000,9.480,12.84,,22.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54067.016,1279551666,40.233799,-111.674612,0.000,1487.000,9.480,12.84,,23.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54068.016,1279551667,40.233799,-111.674552,0.000,1487.000,9.480,12.84,,24.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54069.016,1279551668,40.233799,-111.674491,0.000,1487.000,9.480,12.84,,25.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54070.016,1279551669,40.233799,-111.674430,0.000,1487.000,9.480,12.84,,26.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54071.016,1279551670,40.233799,-111.674370,0.000,1487.000,9.480,12.84,,27.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54072.016,1279551671,40.233799,-111.674309,0.000,1487.000,9.480,12.84,,28.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54073.016,1279551672,40.233799,-111.674249,0.000,1487.000,9.480,12.84,,29.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54074.016,1279551673,40.233799,-111.674188,0.000,1487.000,9.480,12.84,,30.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54075.016,1279551674,40.233799,-111.674128,0.000,1487.000,9.480,12.84,,31.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54076.016,1279551675,40.233799,-111.674067,0.000,1487.000,9.480,12.84,,32.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54077.016,1279551676,40.233799,-111.674007,0.000,1487.000,9.480,12.84,,33.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54078.016,1279551677,40.233799,-111.673946,0.000,1487.000,9.480,12.84,,34.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54079.023,1279551678,40.233799,-111.673886,0.000,1487.000,9.480,12.84,,35.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54080.016,1279551679,40.233799,-111.673825,0.000,1487.000,9.480,12.84,,36.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54081.016,1279551680,40.233799,-111.673765,0.000,1487.000,9.480,12.84,,37.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54082.016,1279551681,40.233799,-111.673704,0.000,1487.000,9.480,12.84,,38.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54083.016,1279551682,40.233799,-111.673643,0.000,1487.000,9.480,12.84,,39.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54084.020,1279551683,40.233799,-111.673583,0.000,1487.000,9.480,12.84,,40.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54085.016,1279551684,40.233799,-111.673522,0.000,1487.000,9.480,12.84,,41.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54086.016,1279551685,40.233799,-111.673462,0.000,1487.000,9.480,12.84,,42.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54087.016,1279551686,40.233799,-111.673401,0.000,1487.000,9.480,12.84,,43.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54088.016,1279551687,40.233799,-111.673341,0.000,1487.000,9.480,12.84,,44.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54089.016,1279551688,40.233799,-111.673280,0.000,1487.000,9.480,12.84,,45.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54090.016,1279551689,40.233799,-111.673220,0.000,1487.000,9.480,12.84,,46.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54091.016,1279551690,40.233799,-111.673159,0.000,1487.000,9.480,12.84,,47.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54092.016,1279551691,40.233799,-111.673099,0.000,1487.000,9.480,12.84,,48.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54093.016,1279551692,40.233799,-111.673038,0.000,1487.000,9.480,12.84,,49.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54094.016,1279551693,40.233799,-111.672978,0.000,1487.000,9.480,12.84,,50.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54095.016,1279551694,40.233799,-111.672917,0.000,1487.000,9.480,12.84,,51.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54096.016,1279551695,40.233799,-111.672856,0.000,1487.000,9.480,12.84,,52.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54097.016,1279551696,40.233799,-111.672796,0.000,1487.000,9.480,12.84,,53.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54098.016,1279551697,40.233799,-111.672736,0.000,1487.000,9.480,12.84,,54.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54099.016,1279551698,40.233799,-111.672675,0.000,1487.000,9.480,12.84,,55.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54100.016,1279551699,40.233799,-111.672614,0.000,1487.000,9.480,12.84,,56.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54101.016,1279551700,40.233799,-111.672554,0.000,1487.000,9.480,12.84,,57.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54102.016,1279551701,40.233799,-111.672493,0.000,1487.000,9.480,12.84,,58.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54103.016,1279551702,40.233799,-111.672433,0.000,1487.000,9.480,12.84,,59.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54104.017,1279551703,40.233799,-111.672372,0.000,1487.000,9.480,12.84,,60.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54105.016,1279551704,40.233799,-111.672312,0.000,1487.000,9.480,12.84,,61.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54106.016,1279551705,40.233799,-111.672251,0.000,1487.000,9.480,12.84,,62.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54107.016,1279551706,40.233799,-111.672191,0.000,1487.000,9.480,12.84,,63.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54108.016,1279551707,40.233799,-111.672130,0.000,1487.000,9.480,12.84,,64.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54109.019,1279551708,40.233799,-111.672070,0.000,1487.000,9.480,12.84,,65.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54110.016,1279551709,40.233799,-111.672009,0.000,1487.000,9.480,12.84,,66.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54111.016,1279551710,40.233799,-111.671948,0.000,1487.000,9.480,12.84,,67.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54112.016,1279551711,40.233799,-111.671888,0.000,1487.000,9.480,12.84,,68.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54113.016,1279551712,40.233799,-111.671827,0.000,1487.000,9.480,12.84,,69.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54114.017,1279551713,40.233799,-111.671767,0.000,1487.000,9.480,12.84,,70.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54115.016,1279551714,40.233799,-111.671706,0.000,1487.000,9.480,12.84,,71.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
54116.016,1279551715,40.233799,-111.671646,0.000,1487.000,9.480,12.84,,72.00,0.00,0.510,0,0,0,0,0,"1220",4,,0,7,0,0,0
