time_stamp,utc_time,latitude,longitude,pressure_alt,gnss_alt,acc_hor,acc_vert,acc_vel,vel_vert,ns_vog,ew_vog,intent_change,autopilot_enabled,nicbaro_crosschecked,on_ground,ident,squawk,fix_type,num_sats,em_status,adsb_enable,modeA_enable,modeC_enable,modeS_enable
54044.016,1279551643,40.233709,-111.676122,0.000,1487.000,9.480,12.84,,0.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54045.021,1279551644,40.233709,-111.676061,0.000,1487.000,9.480,12.84,,1.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54046.016,1279551645,40.233709,-111.676001,0.000,1487.000,9.480,12.84,,2.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54047.016,1279551646,40.233709,-111.675940,0.000,1487.000,9.480,12.84,,3.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54048.016,1279551647,40.233709,-111.675880,0.000,1487.000,9.480,12.84,,4.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54049.016,1279551648,40.233709,-111.675819,0.000,1487.000,9.480,12.84,,5.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54050.016,1279551649,40.233709,-111.675759,0.000,1487.000,9.480,12.84,,6.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54051.016,1279551650,40.233709,-111.675698,0.000,1487.000,9.480,12.84,,7.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54052.016,1279551651,40.233709,-111.675637,0.000,1487.000,9.480,12.84,,8.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54053.017,1279551652,40.233709,-111.675577,0.000,1487.000,9.480,12.84,,9.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54054.016,1279551653,40.233709,-111.675517,0.000,1487.000,9.480,12.84,,10.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54055.016,1279551654,40.233709,-111.675456,0.000,1487.000,9.480,12.84,,11.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54056.016,1279551655,40.233709,-111.675395,0.000,1487.000,9.480,12.84,,12.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54057.015,1279551656,40.233709,-111.675335,0.000,1487.000,9.480,12.84,,13.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54058.015,1279551657,40.233709,-111.675274,0.000,1487.000,9.480,12.84,,14.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54059.016,1279551658,40.233709,-111.675214,0.000,1487.000,9.480,12.84,,15.00,0.00,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
