time_stamp,ICAO,lat (deg),lon (deg),altitude (meters),heading,hor_velocity (mps),ver_velocity (mps),latlon valid,altitude valid,heading valid,velocity valid,callsign valid,ident valid,simulated report,vert_vel valid,baro valid,source_uat,squawk,altitude_type,callsign,emitter_type,tslc
54751.025,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54751.035,"A55B7A",0.000000,0.000000,2147484,313.010,178.510,-9.750,0,0,1,1,0,0,0,1,1,0,"0000",0,"",0,15
54751.042,"A209C0",27.072602,-82.187373,9982,162.040,253.620,-5.200,1,1,1,1,1,1,0,1,1,0,"0000",0,"AAY1736 ",3,11
54751.051,"ACD5AA",27.159805,-82.434150,7010,139.350,220.180,9.100,1,1,1,1,1,1,0,1,1,0,"0000",0,"NKS538  ",3,1
54751.061,"A4FFC4",28.050797,-82.786682,8870,0.360,162.040,10.720,1,1,1,1,1,1,0,1,1,0,"0000",0,"N421EK  ",1,10
54751.070,"AD5817",27.514067,-82.214579,8809,313.160,215.550,11.050,1,1,1,1,1,1,0,1,1,0,"0000",0,"SWA2362 ",3,1
54751.078,"A0C300",27.715673,-82.384973,1768,353.070,55.440,0.000,0,1,1,1,1,0,0,0,1,1,"0000",0,"N14814  ",1,40
54751.087,"A5C4D1",27.616775,-82.592018,1486,147.380,45.800,0.970,1,1,1,1,1,0,0,0,1,1,"0000",0,"N471A   ",1,1
54751.096,"A0851B",27.716675,-82.196806,10333,331.300,235.610,4.220,1,1,1,1,1,1,0,1,1,0,"0000",0,"GTI3708 ",5,1
54751.104,"AD111D",27.595597,-82.699635,1189,149.390,113.690,-6.500,1,1,1,1,1,0,0,1,1,0,"0000",0,"N941CM  ",1,11
54751.113,"A4ECA6",27.635421,-82.167526,10973,330.340,212.970,0.000,1,1,1,1,1,1,0,1,1,0,"0000",0,"RPA4459 ",3,1
54752.026,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54752.035,"A55B7A",0.000000,0.000000,2147484,313.010,178.510,-9.750,0,0,1,1,0,0,0,1,1,0,"0000",0,"",0,16
54752.045,"A209C0",27.072602,-82.187373,9982,162.040,253.620,-5.200,1,1,1,1,1,1,0,1,1,0,"0000",0,"AAY1736 ",3,12
54752.052,"ACD5AA",27.138186,-82.413254,7148,139.350,220.180,9.100,1,1,1,1,1,1,0,1,1,0,"0000",0,"NKS538  ",3,1
54752.061,"A4FFC4",28.050797,-82.786682,8870,0.360,162.040,10.720,1,1,1,1,1,1,0,1,1,0,"0000",0,"N421EK  ",1,11
54752.069,"AD5817",27.516704,-82.217773,8824,313.070,216.060,10.720,1,1,1,1,1,1,0,1,1,0,"0000",0,"SWA2362 ",3,0
54752.079,"A0C300",27.715673,-82.384973,1768,353.070,55.440,0.000,0,1,1,1,1,0,0,0,1,1,"0000",0,"N14814  ",1,41
54752.086,"A5C4D1",27.616217,-82.591610,1486,147.920,45.530,1.620,1,1,1,1,1,0,0,0,1,1,"0000",0,"N471A   ",1,1
54752.095,"A0851B",27.718506,-82.197946,10340,331.240,235.100,3.900,1,1,1,1,1,1,0,1,1,0,"0000",0,"GTI3708 ",5,1
54752.105,"AD111D",27.595597,-82.699635,1189,149.390,113.690,-6.500,1,1,1,1,1,0,0,1,1,0,"0000",0,"N941CM  ",1,12
54752.114,"A4ECA6",27.635421,-82.167526,10973,330.340,212.970,0.000,1,1,1,1,1,1,0,1,1,0,"0000",0,"RPA4459 ",3,1
54753.026,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54753.035,"A55B7A",0.000000,0.000000,2147484,313.010,178.510,-9.750,0,0,1,1,0,0,0,1,1,0,"0000",0,"",0,17
54753.044,"A209C0",27.072602,-82.187373,9982,162.040,253.620,-5.200,1,1,1,1,1,1,0,1,1,0,"0000",0,"AAY1736 ",3,13
