time_stamp,ICAO,lat (deg),lon (deg),altitude (meters),heading,hor_velocity (mps),ver_velocity (mps),latlon valid,altitude valid,heading valid,velocity valid,callsign valid,ident valid,simulated report,vert_vel valid,baro valid,source_uat,squawk,altitude_type,callsign,emitter_type,tslc
54044.026,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54044.035,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54044.044,"AAAA11",27.549505,-82.542665,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST11  ",14,1
54045.026,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54045.035,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54045.042,"AAAA11",27.549505,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST11  ",14,1
54045.052,"FAA020",40.233779,-111.676004,1486,90.000,4.620,0.000,1,1,1,1,0,0,0,0,0,0,"0000",1,"",0,1
54046.025,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54046.035,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54046.042,"AAAA11",27.549505,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST11  ",14,2
54046.051,"FAA020",40.233779,-111.675897,1486,90.000,4.620,1.620,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,1
54047.025,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54047.035,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54047.042,"AAAA11",27.549505,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST11  ",14,1
54047.051,"FAA020",40.233779,-111.675854,1486,90.000,4.620,2.270,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,1
54048.025,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54048.035,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54048.042,"AAAA11",27.549505,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST11  ",14,1
54048.051,"FAA020",40.233779,-111.675811,1486,90.000,4.620,3.250,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,1
54049.025,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,2
54049.035,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
