time_stamp,ICAO,lat (deg),lon (deg),altitude (meters),heading,hor_velocity (mps),ver_velocity (mps),latlon valid,altitude valid,heading valid,velocity valid,callsign valid,ident valid,simulated report,vert_vel valid,baro valid,source_uat,squawk,altitude_type,callsign,emitter_type,tslc
54045.010,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54045.011,"A3E61A",27.932554,-82.179430,13106,330.790,224.290,-0.320,1,1,1,1,0,0,0,1,1,0,"0000",0,"",0,3
54045.014,"AAAA11",27.549505,-82.542665,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST11  ",14,1
54045.017,"A32AD1",27.604707,-82.480787,12489,157.390,239.210,0.000,1,1,1,1,1,1,0,1,1,0,"0000",0,"DAL1263 ",3,1
54045.019,"A3D10F",27.241242,-82.248474,10653,139.270,248.990,-4.870,1,1,1,1,1,1,0,1,1,0,"0000",0,"DAL2294 ",3,2
54045.022,"A6EC56",28.236650,-82.391021,10371,348.560,230.470,0.000,1,1,1,1,1,1,0,1,1,0,"0000",0,"AAL2064 ",3,12
54045.031,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54045.036,"FAA020",40.233779,-111.676004,1486,90.000,4.620,0.000,1,1,1,1,0,0,0,0,0,0,"0000",1,"",0,1
54045.042,"A3E61A",27.932554,-82.179430,13106,330.790,224.290,-0.320,1,1,1,1,0,0,0,1,1,0,"0000",0,"",0,4
54045.052,"AAAA11",27.549505,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST11  ",14,1
54045.061,"A32AD1",27.602778,-82.479910,12489,157.390,239.210,0.000,1,1,1,1,1,1,0,1,1,0,"0000",0,"DAL1263 ",3,1
54045.071,"A3D10F",27.241242,-82.248474,10653,139.270,248.990,-4.870,1,1,1,1,1,1,0,1,1,0,"0000",0,"DAL2294 ",3,0
54045.078,"A6EC56",28.236650,-82.391021,10371,348.560,230.470,0.000,1,1,1,1,1,1,0,1,1,0,"0000",0,"AAL2064 ",3,13
54045.088,"FAA027",40.233693,-111.676111,1486,90.000,4.620,0.000,1,1,1,1,0,0,0,0,0,0,"0000",1,"",0,1
54046.026,"AAAA16",27.549548,-82.542708,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,0,"0000",0,"TEST16  ",14,1
54046.035,"FAA020",40.233779,-111.675897,1486,90.000,4.620,1.620,1,1,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,1
54046.045,"A3E61A",27.932554,-82.179430,13106,330.790,224.290,-0.320,1,1,1,1,0,0,0,1,1,0,"0000",0,"",0,5
54046.052,"AAAA11",27.549505,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST11  ",14,1
54046.062,"A32AD1",27.600822,-82.479021,12489,157.390,239.210,0.000,1,1,1,1,1,1,0,1,1,0,"0000",0,"DAL1263 ",3,1
